iccs,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS020221,P_HTHAB,CZ	0.04 	0.11 	0.10 	0.08 	0.08 	0.10 	0.07 	0.08 
ICCS020221,P_HTHAB,DE	5.90 	6.20 	6.16 	6.45 	6.14 	5.99 	6.25 	2.26 
ICCS020221,P_HTHAB,EE	0.00 	0.00 	0.08 	0.00 	0.23 	0.00 	0.00 	0.15 
ICCS020221,P_HTHAB,EL	0.82 	0.53 	0.86 	1.25 	1.42 	1.56 	0.14 	0.27 
ICCS020221,P_HTHAB,ES	0.20 	0.21 	0.26 	0.25 	0.24 	0.27 	0.37 	0.52 
ICCS020221,P_HTHAB,FI	0.02 	0.02 	0.02 	0.02 	0.06 	0.02 	0.06 	0.00 
ICCS020221,P_HTHAB,FR	5.99 	4.48 	3.45 	3.24 	3.44 	3.24 	3.24 	3.24 
ICCS020221,P_HTHAB,HR	0.00 	0.02 	0.02 	0.14 	0.14 	0.30 	0.28 	0.37 
ICCS020221,P_HTHAB,HU	0.11 	0.03 	0.07 	0.09 	0.12 	0.18 	0.14 	0.11 
ICCS020221,P_HTHAB,IE	3.31 	2.69 	2.70 	2.20 	2.38 	2.95 	3.23 	1.73 
ICCS020221,P_HTHAB,IT	0.47 	0.49 	0.54 	0.57 	0.60 	0.59 	0.59 	0.55 
ICCS020221,P_HTHAB,LI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS020221,P_HTHAB,LT	1.68 	1.49 	1.55 	2.16 	1.57 	2.20 	1.85 	1.90 
ICCS020221,P_HTHAB,LU	9.41 	9.46 	8.94 	10.86 	9.18 	5.38 	8.11 	6.82 
ICCS020221,P_HTHAB,LV	0.86 	0.85 	0.89 	0.05 	0.34 	0.38 	0.42 	0.14 
ICCS020221,P_HTHAB,ME	0.00 	0.00 	0.16 	0.00 	0.48 	0.32 	0.49 	0.49 
ICCS020221,P_HTHAB,MK	: 	0.39 	0.87 	0.92 	0.68 	0.83 	0.78 	0.68 
ICCS020221,P_HTHAB,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS020221,P_HTHAB,NL	2.46 	2.41 	3.04 	3.50 	3.36 	3.89 	3.79 	4.63 
ICCS020221,P_HTHAB,PL	0.65 	0.75 	0.71 	0.83 	0.03 	0.07 	0.15 	0.10 
ICCS020221,P_HTHAB,PT	3.56 	3.61 	4.12 	3.97 	4.80 	4.74 	5.10 	4.66 
ICCS020221,P_HTHAB,RO	1.48 	1.45 	1.55 	1.95 	1.43 	1.50 	: 	1.28 
ICCS020221,P_HTHAB,RS	0.20 	0.15 	0.13 	0.15 	0.12 	0.27 	0.33 	0.22 
ICCS020221,P_HTHAB,SI	0.15 	0.24 	0.19 	0.19 	0.10 	0.20 	0.10 	0.35 
ICCS020221,P_HTHAB,SK	0.02 	0.18 	0.07 	0.13 	0.07 	0.07 	0.11 	0.06 
ICCS020221,P_HTHAB,TR	: 	: 	: 	17.97 	18.43 	18.72 	17.76 	: 
ICCS020221,P_HTHAB,UKC-L	5.22 	3.84 	3.04 	2.46 	2.71 	3.10 	3.38 	3.73 
ICCS020221,P_HTHAB,UKM	: 	4.38 	4.77 	4.28 	4.15 	4.96 	5.16 	6.15 
ICCS020221,P_HTHAB,UKN	3.52 	2.39 	3.23 	2.47 	3.65 	3.11 	4.59 	4.69 
ICCS020221,P_HTHAB,XK	: 	: 	: 	: 	1.73 	1.95 	2.29 	2.14 
ICCS0301,NR,AL	149 	97 	89 	47 	44 	60 	63 	57 
ICCS0301,NR,AT	3479 	3564 	3780 	4040 	3957 	3496 	3836 	4185 
ICCS0301,NR,BA	165 	134 	: 	: 	: 	: 	: 	: 
ICCS0301,NR,BE	10273 	11404 	11399 	10736 	11300 	10923 	10609 	10779 
ICCS0301,NR,BG	603 	610 	632 	686 	649 	696 	726 	749 
ICCS0301,NR,CH	2710 	2747 	2696 	2581 	2816 	2492 	6648 	: 
ICCS0301,NR,CY	100 	51 	47 	69 	77 	79 	78 	97 
ICCS0301,NR,CZ	1419 	1429 	1417 	1410 	1456 	1337 	1730 	1680 
ICCS0301,NR,DE	34265 	34959 	35330 	36277 	36354 	36566 	49084 	56784 
ICCS0301,NR,DK	2176 	1908 	1843 	1904 	1866 	2010 	1671 	1812 
ICCS0301,NR,EE	284 	199 	240 	248 	180 	178 	254 	268 
ICCS0301,NR,EL	504 	589 	860 	821 	535 	901 	924 	682 
ICCS0301,NR,ES	9869 	9468 	8923 	9008 	9892 	9954 	9723 	10888 
ICCS0301,NR,FI	2789 	2825 	2988 	3234 	3159 	2384 	2099 	2711 
ICCS0301,NR,FR	32941 	30959 	27778 	26783 	23871 	22963 	23253 	24031 
ICCS0301,NR,HR	605 	604 	576 	343 	378 	397 	664 	765 
ICCS0301,NR,HU	619 	545 	679 	694 	629 	677 	656 	464 
ICCS0301,NR,IE	2146 	1901 	1884 	1977 	1839 	2189 	1343 	1251 
ICCS0301,NR,LI	17 	19 	42 	: 	: 	: 	: 	: 
ICCS0301,NR,LT	373 	401 	352 	441 	529 	514 	362 	368 
ICCS0301,NR,LU	356 	435 	405 	398 	354 	326 	360 	: 
ICCS0301,NR,LV	271 	444 	377 	: 	: 	: 	: 	: 
ICCS0301,NR,ME	26 	31 	23 	24 	24 	44 	47 	40 
ICCS0301,NR,MK	: 	: 	151 	: 	: 	: 	: 	: 
ICCS0301,NR,MT	104 	77 	94 	82 	69 	91 	82 	80 
ICCS0301,NR,NL	7355 	7950 	8330 	8880 	9195 	9610 	10245 	10495 
ICCS0301,NR,NO	: 	3112 	2501 	2626 	2661 	2451 	2410 	2296 
ICCS0301,NR,PL	1764 	2406 	1903 	: 	: 	: 	: 	: 
ICCS0301,NR,PT	2579 	2475 	2238 	2134 	2182 	2206 	2556 	2251 
ICCS0301,NR,RO	1660 	1516 	1723 	1541 	1325 	1486 	1605 	1566 
ICCS0301,NR,RS	339 	371 	321 	395 	457 	453 	412 	400 
ICCS0301,NR,SE	17318 	19512 	16902 	16174 	16095 	15537 	14998 	14058 
ICCS0301,NR,SI	258 	296 	378 	367 	471 	466 	456 	383 
ICCS0301,NR,SK	645 	766 	: 	: 	: 	: 	: 	: 
ICCS0301,NR,UKC-L	: 	64544 	47140 	38930 	38298 	39114 	37307 	35310 
ICCS0301,NR,UKM	: 	8712 	7658 	6734 	6232 	5232 	4850 	4811 
ICCS0301,NR,UKN	2873 	2550 	2109 	1859 	1840 	1868 	1769 	1777 
ICCS0301,NR,XK	196 	203 	147 	142 	125 	122 	137 	161 
ICCS0301,P_HTHAB,AL	: 	: 	: 	: 	1.55 	: 	1.98 	1.80 
ICCS0301,P_HTHAB,AT	40.57 	41.90 	44.72 	48.05 	47.25 	41.86 	46.02 	50.37 
ICCS0301,P_HTHAB,BE	91.42 	102.00 	102.13 	96.77 	102.72 	100.77 	98.66 	101.05 
ICCS0301,P_HTHAB,BG	8.37 	8.42 	8.68 	9.36 	8.81 	9.38 	9.72 	9.96 
ICCS0301,P_HTHAB,CH	32.90 	33.75 	33.54 	32.45 	35.78 	32.01 	86.32 	: 
ICCS0301,P_HTHAB,CY	11.81 	5.94 	5.43 	8.00 	9.17 	9.64 	9.79 	12.49 
ICCS0301,P_HTHAB,CZ	13.47 	13.59 	13.47 	13.42 	13.88 	12.78 	16.59 	16.24 
ICCS0301,P_HTHAB,DE	42.20 	43.28 	43.88 	45.16 	45.32 	44.70 	59.86 	69.07 
ICCS0301,P_HTHAB,DK	38.45 	33.91 	32.90 	34.12 	33.56 	36.32 	30.32 	33.09 
ICCS0301,P_HTHAB,EE	21.60 	15.12 	18.18 	18.71 	13.54 	13.35 	19.02 	20.02 
ICCS0301,P_HTHAB,EL	4.64 	5.39 	7.82 	7.41 	4.81 	8.10 	8.33 	6.10 
ICCS0301,P_HTHAB,ES	21.25 	20.36 	19.10 	19.24 	21.20 	21.41 	21.03 	23.84 
ICCS0301,P_HTHAB,FI	50.97 	51.82 	55.06 	59.87 	58.77 	44.55 	39.41 	51.15 
ICCS0301,P_HTHAB,FR	49.54 	46.95 	42.34 	41.03 	36.74 	35.51 	36.14 	37.54 
ICCS0301,P_HTHAB,HR	14.32 	14.22 	13.51 	8.02 	8.81 	9.23 	15.41 	17.74 
ICCS0301,P_HTHAB,HU	6.28 	5.52 	6.85 	6.99 	6.30 	6.76 	6.54 	4.62 
ICCS0301,P_HTHAB,IE	46.36 	41.28 	41.04 	43.14 	40.23 	48.12 	29.70 	28.06 
ICCS0301,P_HTHAB,LI	45.50 	51.17 	114.01 	: 	: 	: 	: 	: 
ICCS0301,P_HTHAB,LT	12.77 	13.62 	11.84 	14.68 	17.33 	16.36 	11.37 	11.45 
ICCS0301,P_HTHAB,LU	63.24 	79.14 	75.41 	75.83 	69.16 	64.93 	72.95 	: 
ICCS0301,P_HTHAB,LV	13.64 	22.18 	18.63 	: 	: 	: 	: 	: 
ICCS0301,P_HTHAB,ME	4.18 	4.99 	3.70 	3.87 	3.87 	7.11 	7.62 	6.50 
ICCS0301,P_HTHAB,MK	: 	: 	7.32 	: 	: 	: 	: 	: 
ICCS0301,P_HTHAB,MT	24.22 	18.10 	22.31 	19.64 	16.63 	21.98 	19.95 	19.62 
ICCS0301,P_HTHAB,NL	43.52 	47.24 	49.64 	53.08 	55.21 	57.98 	62.14 	63.97 
ICCS0301,P_HTHAB,NO	: 	60.92 	49.51 	52.67 	54.08 	50.45 	50.22 	48.47 
ICCS0301,P_HTHAB,PL	4.64 	6.33 	5.00 	: 	: 	: 	: 	: 
ICCS0301,P_HTHAB,PT	24.86 	23.74 	21.34 	20.24 	20.64 	20.86 	24.20 	21.33 
ICCS0301,P_HTHAB,RO	8.35 	7.60 	8.61 	7.67 	6.19 	6.92 	7.85 	7.59 
ICCS0301,P_HTHAB,RS	4.76 	5.19 	4.47 	5.47 	6.30 	6.20 	5.62 	5.43 
ICCS0301,P_HTHAB,SE	177.67 	202.30 	176.88 	170.56 	170.94 	166.34 	162.03 	153.09 
ICCS0301,P_HTHAB,SI	12.51 	14.36 	18.36 	17.85 	22.97 	22.77 	22.44 	19.05 
ICCS0301,P_HTHAB,SK	11.90 	14.14 	: 	: 	: 	: 	: 	: 
ICCS0301,P_HTHAB,UKC-L	: 	112.89 	83.05 	69.06 	68.47 	70.52 	67.78 	64.65 
ICCS0301,P_HTHAB,UKM	: 	163.22 	143.94 	126.91 	118.02 	99.72 	92.97 	86.98 
ICCS0301,P_HTHAB,UKN	155.54 	138.79 	115.46 	102.20 	101.68 	103.83 	99.04 	100.37 
ICCS0301,P_HTHAB,XK	: 	: 	: 	: 	6.97 	5.53 	6.28 	7.48 
ICCS03011,NR,AL	56 	41 	39 	24 	22 	24 	34 	39 
ICCS03011,NR,AT	1130 	1164 	1295 	1256 	1314 	1221 	779 	693 
ICCS03011,NR,BA	36 	27 	35 	41 	35 	46 	29 	35 
ICCS03011,NR,BE	2865 	3070 	3345 	3405 	3397 	3308 	3152 	3231 
ICCS03011,NR,BG	119 	148 	164 	187 	157 	211 	246 	262 
ICCS03011,NR,CH	532 	556 	571 	569 	552 	543 	666 	612 
ICCS03011,NR,CY	20 	14 	18 	25 	38 	36 	27 	34 
ICCS03011,NR,CZ	598 	669 	589 	669 	675 	586 	480 	529 
ICCS03011,NR,DE	7022 	7345 	7408 	8031 	7539 	7724 	7314 	7292 
ICCS03011,NR,DK	1051 	837 	839 	869 	853 	954 	878 	975 
ICCS03011,NR,EE	161 	147 	135 	143 	91 	81 	124 	160 
ICCS03011,NR,EL	122 	134 	149 	167 	172 	215 	213 	232 
ICCS03011,NR,ES	1229 	1239 	1298 	1280 	1513 	1578 	2051 	2437 
ICCS03011,NR,FI	1052 	1009 	975 	1009 	1039 	818 	660 	915 
ICCS03011,NR,FR	12956 	12157 	11171 	10885 	10406 	10108 	9842 	10277 
ICCS03011,NR,HR	258 	335 	274 	126 	122 	141 	129 	188 
ICCS03011,NR,HU	378 	318 	248 	192 	196 	246 	228 	214 
ICCS03011,NR,IE	538 	476 	451 	519 	463 	478 	329 	348 
ICCS03011,NR,IS	178 	129 	180 	122 	128 	98 	78 	68 
ICCS03011,NR,LI	1 	5 	3 	4 	2 	0 	0 	3 
ICCS03011,NR,LT	155 	158 	133 	178 	191 	208 	149 	164 
ICCS03011,NR,LU	68 	73 	89 	76 	70 	66 	56 	57 
ICCS03011,NR,LV	60 	75 	73 	64 	50 	78 	69 	100 
ICCS03011,NR,ME	5 	5 	4 	3 	3 	5 	9 	17 
ICCS03011,NR,MK	: 	45 	38 	43 	41 	28 	37 	41 
ICCS03011,NR,MT	23 	11 	15 	13 	18 	11 	12 	19 
ICCS03011,NR,NL	1195 	1180 	1210 	1410 	1605 	1660 	1920 	1945 
ICCS03011,NR,NO	: 	1127 	1136 	1116 	1075 	938 	998 	944 
ICCS03011,NR,PL	1233 	1893 	1362 	1432 	1498 	1567 	1530 	1611 
ICCS03011,NR,PT	375 	374 	345 	375 	374 	424 	377 	314 
ICCS03011,NR,RO	1016 	875 	978 	895 	780 	897 	1007 	1016 
ICCS03011,NR,RS	61 	65 	70 	85 	79 	72 	111 	123 
ICCS03011,NR,SE	5544 	6294 	5634 	5949 	6059 	5479 	5453 	4901 
ICCS03011,NR,SI	42 	44 	53 	58 	55 	63 	79 	57 
ICCS03011,NR,SK	87 	87 	91 	88 	150 	117 	142 	152 
ICCS03011,NR,UKC-L	35798 	29300 	20751 	16374 	16038 	15892 	15074 	13096 
ICCS03011,NR,UKM	: 	1797 	1690 	1372 	1183 	997 	884 	821 
ICCS03011,NR,UKN	714 	655 	499 	503 	548 	498 	422 	368 
ICCS03011,NR,XK	37 	29 	32 	33 	24 	33 	44 	50 
ICCS03011,P_HTHAB,AL	: 	: 	: 	: 	0.78 	: 	1.07 	1.23 
ICCS03011,P_HTHAB,AT	13.18 	13.68 	15.32 	14.94 	15.69 	14.62 	9.35 	8.34 
ICCS03011,P_HTHAB,BA	: 	: 	: 	1.07 	0.91 	1.20 	0.75 	0.91 
ICCS03011,P_HTHAB,BE	25.50 	27.46 	29.97 	30.69 	30.88 	30.52 	29.31 	30.29 
ICCS03011,P_HTHAB,BG	1.65 	2.04 	2.25 	2.55 	2.13 	2.84 	3.29 	3.48 
ICCS03011,P_HTHAB,CH	6.46 	6.83 	7.10 	7.15 	7.01 	6.97 	8.65 	8.06 
ICCS03011,P_HTHAB,CY	2.36 	1.63 	2.08 	2.90 	4.53 	4.39 	3.39 	4.38 
ICCS03011,P_HTHAB,CZ	5.67 	6.36 	5.60 	6.37 	6.44 	5.60 	4.60 	5.11 
ICCS03011,P_HTHAB,DE	8.65 	9.09 	9.20 	10.00 	9.40 	9.44 	8.92 	8.87 
ICCS03011,P_HTHAB,DK	18.57 	14.87 	14.98 	15.57 	15.34 	17.24 	15.93 	17.81 
ICCS03011,P_HTHAB,EE	12.24 	11.17 	10.23 	10.79 	6.84 	6.08 	9.28 	11.95 
ICCS03011,P_HTHAB,EL	1.12 	1.23 	1.35 	1.51 	1.55 	1.93 	1.92 	2.07 
ICCS03011,P_HTHAB,ES	2.65 	2.66 	2.78 	2.73 	3.24 	3.39 	4.44 	5.34 
ICCS03011,P_HTHAB,FI	19.23 	18.51 	17.97 	18.68 	19.33 	15.29 	12.39 	17.26 
ICCS03011,P_HTHAB,FR	19.49 	18.44 	17.03 	16.68 	16.01 	15.63 	15.29 	16.06 
ICCS03011,P_HTHAB,HR	6.11 	7.89 	6.43 	2.95 	2.84 	3.28 	2.99 	4.36 
ICCS03011,P_HTHAB,HU	3.84 	3.22 	2.50 	1.93 	1.96 	2.46 	2.27 	2.13 
ICCS03011,P_HTHAB,IE	11.62 	10.34 	9.82 	11.33 	10.13 	10.51 	7.28 	7.81 
ICCS03011,P_HTHAB,IS	54.09 	39.61 	55.93 	38.18 	40.19 	30.85 	24.42 	21.56 
ICCS03011,P_HTHAB,LI	2.68 	13.47 	8.14 	10.97 	5.53 	0.00 	0.00 	8.49 
ICCS03011,P_HTHAB,LT	5.31 	5.37 	4.48 	5.93 	6.26 	6.62 	4.68 	5.10 
ICCS03011,P_HTHAB,LU	12.08 	13.28 	16.57 	14.48 	13.68 	13.15 	11.35 	11.78 
ICCS03011,P_HTHAB,LV	3.02 	3.75 	3.61 	3.13 	2.41 	3.68 	3.19 	4.56 
ICCS03011,P_HTHAB,ME	0.80 	0.80 	0.64 	0.48 	0.48 	0.81 	1.46 	2.76 
ICCS03011,P_HTHAB,MK	: 	2.18 	1.84 	2.09 	1.99 	1.36 	1.81 	2.00 
ICCS03011,P_HTHAB,MT	5.36 	2.59 	3.56 	3.11 	4.34 	2.66 	2.92 	4.66 
ICCS03011,P_HTHAB,NL	7.07 	7.01 	7.21 	8.43 	9.64 	10.02 	11.65 	11.86 
ICCS03011,P_HTHAB,NO	: 	22.06 	22.49 	22.38 	21.85 	19.31 	20.79 	19.93 
ICCS03011,P_HTHAB,PL	3.24 	4.98 	3.58 	3.76 	3.94 	4.12 	4.01 	4.23 
ICCS03011,P_HTHAB,PT	3.61 	3.59 	3.29 	3.56 	3.54 	4.01 	3.57 	2.98 
ICCS03011,P_HTHAB,RO	5.11 	4.39 	4.89 	4.45 	3.64 	4.18 	4.93 	4.92 
ICCS03011,P_HTHAB,RS	0.86 	0.91 	0.97 	1.18 	1.09 	0.99 	1.51 	1.67 
ICCS03011,P_HTHAB,SE	56.88 	65.26 	58.96 	62.73 	64.35 	58.66 	58.91 	53.37 
ICCS03011,P_HTHAB,SI	2.04 	2.13 	2.57 	2.82 	2.68 	3.08 	3.89 	2.84 
ICCS03011,P_HTHAB,SK	1.60 	1.61 	1.68 	1.63 	2.78 	2.17 	2.64 	2.83 
ICCS03011,P_HTHAB,UKC-L	62.07 	51.24 	36.56 	29.05 	28.67 	28.65 	27.39 	23.98 
ICCS03011,P_HTHAB,UKM	: 	33.67 	31.77 	25.86 	22.40 	19.00 	16.94 	15.83 
ICCS03011,P_HTHAB,UKN	38.66 	35.65 	27.32 	27.65 	30.28 	27.68 	23.63 	20.79 
ICCS03011,P_HTHAB,XK	: 	: 	: 	: 	1.34 	1.49 	2.02 	2.32 
ICCS03012,NR,AL	93 	56 	50 	23 	22 	36 	29 	18 
ICCS03012,NR,AT	2349 	2400 	2485 	2784 	2643 	2275 	3057 	3492 
ICCS03012,NR,BA	129 	107 	: 	: 	: 	: 	: 	: 
ICCS03012,NR,BE	7408 	8334 	8054 	7331 	7903 	7615 	7457 	7548 
ICCS03012,NR,BG	484 	462 	468 	499 	492 	485 	480 	487 
ICCS03012,NR,CH	2178 	2191 	2125 	2012 	2264 	1949 	5982 	: 
ICCS03012,NR,CY	80 	37 	29 	44 	39 	43 	51 	63 
ICCS03012,NR,CZ	821 	760 	828 	741 	781 	751 	1250 	1151 
ICCS03012,NR,DE	27243 	27614 	27922 	28246 	28815 	28842 	41770 	49492 
ICCS03012,NR,DK	1125 	1071 	1004 	1035 	1013 	1056 	793 	837 
ICCS03012,NR,EE	123 	52 	105 	105 	89 	97 	130 	108 
ICCS03012,NR,EL	382 	455 	711 	654 	363 	686 	711 	450 
ICCS03012,NR,ES	8640 	8229 	7625 	7728 	8379 	8376 	7672 	8451 
ICCS03012,NR,FI	1737 	1816 	2013 	2225 	2120 	1566 	1439 	1796 
ICCS03012,NR,FR	19985 	18802 	16607 	15898 	13465 	12855 	13411 	13754 
ICCS03012,NR,HR	347 	269 	302 	217 	256 	256 	535 	577 
ICCS03012,NR,HU	241 	227 	431 	502 	433 	431 	428 	250 
ICCS03012,NR,IE	1608 	1425 	1433 	1458 	1376 	1711 	1014 	903 
ICCS03012,NR,IT	4000 	4257 	4488 	4689 	4617 	4813 	4963 	4893 
ICCS03012,NR,LI	16 	14 	39 	: 	: 	: 	: 	: 
ICCS03012,NR,LT	218 	243 	219 	263 	338 	306 	213 	204 
ICCS03012,NR,LU	288 	362 	316 	322 	284 	260 	304 	: 
ICCS03012,NR,LV	211 	369 	304 	: 	: 	: 	: 	: 
ICCS03012,NR,ME	21 	26 	19 	21 	21 	39 	38 	23 
ICCS03012,NR,MK	: 	: 	113 	: 	: 	: 	: 	: 
ICCS03012,NR,MT	81 	66 	79 	69 	51 	80 	70 	61 
ICCS03012,NR,NL	6160 	6770 	7120 	7470 	7590 	7950 	8325 	8550 
ICCS03012,NR,NO	: 	1985 	1365 	1510 	1586 	1513 	1412 	1352 
ICCS03012,NR,PL	531 	513 	541 	: 	: 	: 	: 	: 
ICCS03012,NR,PT	2204 	2101 	1893 	1759 	1808 	1782 	2179 	1937 
ICCS03012,NR,RO	644 	641 	745 	646 	545 	589 	598 	550 
ICCS03012,NR,RS	278 	306 	251 	310 	378 	381 	301 	277 
ICCS03012,NR,SE	11774 	13218 	11268 	10225 	10036 	10058 	9545 	9157 
ICCS03012,NR,SI	216 	252 	325 	309 	416 	403 	377 	326 
ICCS03012,NR,SK	558 	679 	: 	: 	: 	: 	: 	: 
ICCS03012,NR,UKC-L	: 	35244 	26389 	22556 	22260 	23222 	22233 	22214 
ICCS03012,NR,UKM	7769 	6915 	5968 	5362 	5049 	4235 	3966 	3690 
ICCS03012,NR,UKN	2159 	1895 	1610 	1356 	1292 	1370 	1347 	1409 
ICCS03012,NR,XK	159 	174 	115 	109 	101 	89 	93 	111 
ICCS03012,P_HTHAB,AL	: 	: 	: 	: 	0.78 	: 	0.91 	0.57 
ICCS03012,P_HTHAB,AT	27.39 	28.21 	29.40 	33.11 	31.56 	27.24 	36.68 	42.03 
ICCS03012,P_HTHAB,BE	65.92 	74.54 	72.16 	66.08 	71.84 	70.25 	69.35 	70.76 
ICCS03012,P_HTHAB,BG	6.72 	6.38 	6.42 	6.81 	6.68 	6.53 	6.43 	6.48 
ICCS03012,P_HTHAB,CH	26.44 	26.92 	26.43 	25.29 	28.77 	25.03 	77.67 	: 
ICCS03012,P_HTHAB,CY	9.45 	4.31 	3.35 	5.10 	4.64 	5.25 	6.40 	8.12 
ICCS03012,P_HTHAB,CZ	7.79 	7.23 	7.87 	7.05 	7.45 	7.18 	11.99 	11.13 
ICCS03012,P_HTHAB,DE	33.55 	34.19 	34.68 	35.16 	35.92 	35.26 	50.94 	60.20 
ICCS03012,P_HTHAB,DK	19.88 	19.03 	17.92 	18.55 	18.22 	19.08 	14.39 	15.29 
ICCS03012,P_HTHAB,EE	9.35 	3.95 	7.95 	7.92 	6.69 	7.28 	9.73 	8.07 
ICCS03012,P_HTHAB,EL	3.52 	4.16 	6.46 	5.90 	3.26 	6.17 	6.41 	4.02 
ICCS03012,P_HTHAB,ES	18.60 	17.69 	16.32 	16.51 	17.95 	18.02 	16.59 	18.50 
ICCS03012,P_HTHAB,FI	31.74 	33.31 	37.09 	41.19 	39.44 	29.26 	27.02 	33.88 
ICCS03012,P_HTHAB,FR	30.06 	28.51 	25.32 	24.35 	20.72 	19.88 	20.84 	21.49 
ICCS03012,P_HTHAB,HR	8.21 	6.33 	7.09 	5.07 	5.97 	5.95 	12.41 	13.38 
ICCS03012,P_HTHAB,HU	2.45 	2.30 	4.35 	5.05 	4.34 	4.30 	4.27 	2.49 
ICCS03012,P_HTHAB,IE	34.74 	30.94 	31.21 	31.82 	30.10 	37.61 	22.43 	20.26 
ICCS03012,P_HTHAB,IT	6.58 	7.00 	7.52 	7.89 	7.78 	8.13 	8.41 	8.34 
ICCS03012,P_HTHAB,LI	42.82 	37.71 	105.87 	: 	: 	: 	: 	: 
ICCS03012,P_HTHAB,LT	7.46 	8.26 	7.37 	8.76 	11.07 	9.74 	6.69 	6.35 
ICCS03012,P_HTHAB,LU	51.16 	65.86 	58.84 	61.35 	55.49 	51.79 	61.60 	: 
ICCS03012,P_HTHAB,LV	10.62 	18.44 	15.02 	: 	: 	: 	: 	: 
ICCS03012,P_HTHAB,ME	3.38 	4.18 	3.06 	3.39 	3.39 	6.30 	6.16 	3.74 
ICCS03012,P_HTHAB,MK	: 	: 	5.48 	: 	: 	: 	: 	: 
ICCS03012,P_HTHAB,MT	18.87 	15.52 	18.75 	16.53 	12.29 	19.32 	17.03 	14.96 
ICCS03012,P_HTHAB,NL	36.45 	40.23 	42.43 	44.65 	45.57 	47.96 	50.50 	52.12 
ICCS03012,P_HTHAB,NO	: 	38.86 	27.02 	30.29 	32.23 	31.14 	29.42 	28.54 
ICCS03012,P_HTHAB,PL	1.40 	1.35 	1.42 	: 	: 	: 	: 	: 
ICCS03012,P_HTHAB,PT	21.24 	20.15 	18.05 	16.69 	17.10 	16.85 	20.63 	18.35 
ICCS03012,P_HTHAB,RO	3.24 	3.21 	3.72 	3.21 	2.55 	2.74 	2.93 	2.67 
ICCS03012,P_HTHAB,RS	3.91 	4.28 	3.50 	4.30 	5.21 	5.21 	4.10 	3.76 
ICCS03012,P_HTHAB,SE	120.79 	137.05 	117.92 	107.83 	106.59 	107.68 	103.12 	99.72 
ICCS03012,P_HTHAB,SI	10.47 	12.23 	15.79 	15.03 	20.29 	19.69 	18.55 	16.22 
ICCS03012,P_HTHAB,SK	10.29 	12.54 	: 	: 	: 	: 	: 	: 
ICCS03012,P_HTHAB,UKC-L	: 	61.64 	46.49 	40.01 	39.80 	41.87 	40.39 	40.67 
ICCS03012,P_HTHAB,UKM	145.04 	129.56 	112.18 	101.05 	95.61 	80.72 	76.02 	71.15 
ICCS03012,P_HTHAB,UKN	116.89 	103.14 	88.14 	74.55 	71.40 	76.15 	75.41 	79.59 
ICCS03012,P_HTHAB,XK	: 	: 	: 	: 	5.63 	4.03 	4.26 	5.16 
ICCS0401,NR,AL	234 	297 	371 	326 	268 	236 	169 	144 
ICCS0401,NR,AT	3416 	3481 	3737 	4092 	4066 	4310 	4577 	4786 
ICCS0401,NR,BA	111 	1025 	1103 	1010 	975 	: 	: 	746 
ICCS0401,NR,BE	22101 	21905 	22879 	25608 	27341 	23856 	23581 	22877 
ICCS0401,NR,BG	1946 	2326 	2977 	2955 	3110 	3737 	3596 	2868 
ICCS0401,NR,CH	3279 	4007 	5424 	6076 	5236 	4406 	5027 	4220 
ICCS0401,NR,CY	93 	104 	149 	173 	137 	156 	142 	71 
ICCS0401,NR,CZ	2022 	2547 	3051 	3416 	3881 	4019 	4687 	4641 
